date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
12/10/2020,283555,3067,32919,21021,4274,107248,603493,167166747,1318595,3394,7441,15359290,214118,5985047,56,212993111,1931981
12/9/2020,280488,3088,32720,20903,5424,106671,599219,165848152,1276606,3376,7621,15145172,211020,5891885,56,211061130,1822067
12/8/2020,277400,2655,32406,20483,4309,104590,593795,164571546,1192820,3359,7245,14934152,215335,5788509,56,209239063,1628432
12/7/2020,274745,1347,32120,20098,3614,102148,589486,163378726,1386381,3328,7073,14718817,180219,5714557,56,207610631,1772911
12/6/2020,273398,1146,31946,20145,2311,101501,585872,161992345,1175503,3322,7095,14538598,177812,5624609,56,205837720,1660728
12/5/2020,272252,2461,31831,19947,3457,101192,583561,160816842,1530133,3321,7006,14360786,212940,5576152,56,204176992,2231784
12/4/2020,269791,2563,31608,19858,4652,101276,580104,159286709,1260657,3305,6999,14147846,224878,5470389,56,201945208,1880479
12/3/2020,267228,2706,31276,19723,5331,100755,575452,158026052,1238465,3280,6867,13922968,210251,5404018,56,200064729,1862081
12/2/2020,264522,2733,31038,19680,5028,100322,570121,156787587,982032,3252,6855,13712717,195867,5322128,56,198202648,1496688
12/1/2020,261789,2473,30749,19295,5222,98777,565093,155805555,1941714,3223,6649,13516850,176816,5226581,56,196705960,1444608
11/30/2020,259316,1136,30469,18801,3394,96149,559871,153863841,1219808,3205,6520,13340034,147588,5146643,56,195261352,1619461
11/29/2020,258180,803,30274,18437,2429,93357,556477,152644033,883148,3184,6245,13192446,135244,5065148,56,193641891,1298270
11/28/2020,257377,1245,30109,18249,3404,91762,554048,151760885,1276935,3179,6148,13057202,154614,5024447,56,192343621,1739550
11/27/2020,256132,1372,29858,18061,3499,89950,550644,150483950,1504431,3171,6030,12902588,193686,4947446,56,190604071,2131470
11/26/2020,254760,1336,29673,18019,2247,90564,547145,148979519,850418,3153,5986,12708902,126378,4871312,56,188472601,1218302
11/25/2020,253424,2289,29540,17740,4568,90041,544898,148129101,1160187,3147,5990,12582524,183736,4835956,56,187254299,1772851
11/24/2020,251135,2066,29245,17314,4591,88174,540330,146968914,1353678,3123,5630,12398788,167076,4696996,56,185481448,1850973
11/23/2020,249069,955,28990,17080,2985,85979,535739,145615236,1347659,3106,5458,12231712,150956,4633600,56,183630475,1770734
11/22/2020,248114,898,28828,16411,2291,83882,532754,144267577,1254291,3094,5233,12080756,150878,4526635,56,181859741,1759793
11/21/2020,247216,1512,28693,16264,3340,83346,530463,143013286,1429877,3087,5103,11929878,179763,4529788,56,180099948,2046159
11/20/2020,245704,1884,28472,16138,3891,82279,527123,141583409,1389889,3078,5055,11750115,192830,4457930,56,178053789,1957210
11/19/2020,243820,1967,28216,15763,4420,80682,523232,140193520,1286682,3052,4859,11557285,182903,4410709,56,176096579,1865051
11/18/2020,241853,1864,27989,15558,4384,79517,518812,138906838,1074535,3024,4701,11374382,164050,4348089,56,174231528,1582822
11/17/2020,239989,1555,27681,15018,3812,77079,514428,137832303,1092466,3004,4379,11210332,156779,4292094,56,172648706,1547618
11/16/2020,238434,619,27437,14494,3033,73377,510616,136739837,1103588,2988,4166,11053553,148868,4242683,56,171101088,1498258
11/15/2020,237815,687,27269,13849,1868,70202,507583,135636249,1162588,2975,3939,10904685,144468,4183378,56,169602830,1632584
11/14/2020,237128,1331,27172,13491,3424,69588,505715,134473661,1174745,2972,3945,10760217,163597,4146419,56,167970246,1689149
11/13/2020,235797,1268,26997,13279,3686,68599,502291,133298916,1237358,2967,3769,10596620,172177,4093148,56,166281097,1730806
11/12/2020,234529,1119,26803,12911,3551,67233,498605,132061558,970746,2954,3622,10424443,152047,4049143,56,164550291,1497859
11/11/2020,233410,1563,26584,12625,3275,65557,495054,131090812,1019608,2947,3367,10272396,144882,3995023,56,163052432,1457216
11/10/2020,231847,1360,26335,12071,4033,62138,491779,130071204,941989,2922,3201,10127514,131250,3959700,56,161595216,1279671
